,neuron,score
507N,507N,0.16997482673313158
416N,416N,0.16997046367576815
293N,293N,0.1697777481320904
242N,242N,0.16941850034607897
307N,307N,0.16927848056030403
120N,120N,0.16815756395902023
318N,318N,0.16763525635334434
309N,309N,0.16717046815008096
466N,466N,0.16713272859354555
305N,305N,0.16693019061797607
308N,308N,0.1669225992849678
206N,206N,0.16623661810422455
458N,458N,0.1651137176363799
142N,142N,0.1647537712249042
178N,178N,0.16424703388487288
503N,503N,0.16396358673058292
538N,538N,0.16392448260465797
563N,563N,0.1635911431563094
483N,483N,0.1634238091452794
245N,245N,0.16342259223883693
522N,522N,0.1629464539730019
511N,511N,0.16199981940034094
529N,529N,0.16179182351860008
405N,405N,0.16177328246880301
349N,349N,0.16099962897872747
39N,39N,0.16072191696503718
431N,431N,0.15982161859040003
21N,21N,0.15931378165274762
42N,42N,0.15831971225072564
552N,552N,0.1580822144141053
228N,228N,0.15709814937896355
173N,173N,0.15669004256662505
174N,174N,0.15581929549521334
37N,37N,0.15581929420237023
567N,567N,0.15552372303436535
8N,8N,0.15534997698156597
536N,536N,0.15507373748407471
100N,100N,0.15480989829048017
2N,2N,0.1543803096800981
469N,469N,0.15425123623704587
99N,99N,0.15412297714281858
160N,160N,0.1525852121371059
20N,20N,0.15200699738708726
202N,202N,0.15167656478222988
133N,133N,0.1515776031478721
275N,275N,0.15145799466378887
344N,344N,0.15100333125161203
453N,453N,0.15083098608568346
580N,580N,0.15064807332873356
410N,410N,0.150448696419772
442N,442N,0.14988630411644155
198N,198N,0.14951627476393398
496N,496N,0.14909595076335813
106N,106N,0.14906480911927755
357N,357N,0.14850508403175786
336N,336N,0.14847862051296085
462N,462N,0.14833510186196663
534N,534N,0.14718597134575068
296N,296N,0.14570642260225092
19N,19N,0.14446800584296132
126N,126N,0.14442953965561084
204N,204N,0.14426218008582903
414N,414N,0.14287582711563407
437N,437N,0.14250825011855042
310N,310N,0.14164887955837088
312N,312N,0.14154872066705723
262N,262N,0.14127097907711042
236N,236N,0.1406042312721663
465N,465N,0.13999563783364283
474N,474N,0.13950699308877063
328N,328N,0.13898652090563648
557N,557N,0.13879470679345216
342N,342N,0.13649648205230183
581N,581N,0.13634664166613036
486N,486N,0.13616707138453477
